Provincias;Municipios;Sexo;Edad;Total
05 Ávila;05059 Cillán;Total;100 y más años;1
05 Ávila;05060 Cisla;Total;De 65 a 69 años;4
05 Ávila;05060 Cisla;Total;De 70 a 74 años;10
05 Ávila;05060 Cisla;Total;De 75 a 79 años;2
05 Ávila;05060 Cisla;Total;De 80 a 84 años;8
05 Ávila;05060 Cisla;Total;De 85 a 89 años;5
05 Ávila;05060 Cisla;Total;De 90 a 94 años;8
05 Ávila;05060 Cisla;Total;De 95 a 99 años;4
05 Ávila;05060 Cisla;Total;100 y más años;0
05 Ávila;05061 Colilla, La;Total;De 65 a 69 años;14
05 Ávila;05061 Colilla, La;Total;De 70 a 74 años;10
05 Ávila;05061 Colilla, La;Total;De 75 a 79 años;9
05 Ávila;05061 Colilla, La;Total;De 80 a 84 años;10
05 Ávila;05061 Colilla, La;Total;De 85 a 89 años;3
05 Ávila;05061 Colilla, La;Total;De 90 a 94 años;11
05 Ávila;05061 Colilla, La;Total;De 95 a 99 años;0
05 Ávila;05061 Colilla, La;Total;100 y más años;1
05 Ávila;05062 Collado de Contreras;Total;De 65 a 69 años;18
05 Ávila;05062 Collado de Contreras;Total;De 70 a 74 años;16
05 Ávila;05062 Collado de Contreras;Total;De 75 a 79 años;5
05 Ávila;05062 Collado de Contreras;Total;De 80 a 84 años;8
05 Ávila;05062 Collado de Contreras;Total;De 85 a 89 años;11
05 Ávila;05062 Collado de Contreras;Total;De 90 a 94 años;5
05 Ávila;05062 Collado de Contreras;Total;De 95 a 99 años;1
05 Ávila;05062 Collado de Contreras;Total;100 y más años;0
05 Ávila;05063 Collado del Mirón;Total;De 65 a 69 años;1
05 Ávila;05063 Collado del Mirón;Total;De 70 a 74 años;1
05 Ávila;05063 Collado del Mirón;Total;De 75 a 79 años;0
05 Ávila;05063 Collado del Mirón;Total;De 80 a 84 años;0
05 Ávila;05063 Collado del Mirón;Total;De 85 a 89 años;5
05 Ávila;05063 Collado del Mirón;Total;De 90 a 94 años;4
05 Ávila;05063 Collado del Mirón;Total;De 95 a 99 años;0
05 Ávila;05063 Collado del Mirón;Total;100 y más años;0
05 Ávila;05064 Constanzana;Total;De 65 a 69 años;13
05 Ávila;05064 Constanzana;Total;De 70 a 74 años;5
05 Ávila;05064 Constanzana;Total;De 75 a 79 años;8
